AXELENT,AXELENT GROUP,,COMPSET1
AXIS-COMM,AXIS COMMUNICATION,,COMPSET1
AZ-PNEU,AZ PNEUMATICA,,COMPSET1
AZCO-CORP,AZCO CORP,,COMPSET1
AZEL,AZEL,,COMPSET1
B&B-ELEC,B&B ELECTRONICS,,COMPSET1
B-LINE,B-LINE,,COMPSET1
B-LOC,B-LOC,,COMPSET1
B-TEK,B-TEK,,COMPSET1
B/W-CONT,B/W CONTROLS,,COMPSET1
BABB-INTE,BABBITT INTERNATIONAL,,COMPSET1
BAC,BLAST-IT-ALL CABINET,,COMPSET1
BACHARACH,SCOTT/BACHARACH,,COMPSET1
BADGER,BADGER METER,,COMPSET1
BAGHOUSE,BAGHOUSE.COM,,COMPSET1
BAHCO,BAHCO,,COMPSET1
BALD-FILT,BALDWIN FILTERS,,COMPSET1
BALDOR,BALDOR,,COMPSET1
BALLASTRONIX,BALLASTRONIX INCORPORATED,,COMPSET1
BALLUFF,BALLUFF,,COMPSET1
BALMAC,BALMAC,,COMPSET1
BALSTON,BALSTON,,COMPSET1
BALT-AIR,BALTIMORE AIR COIL (BAC),,COMPSET1
BANDO,BANDO,,COMPSET1
BANJO,BANJO,,COMPSET1
BANNER,BANNER ENGINNEERING,,COMPSET1
BANTE,BANTE INSTRUMENTS,,COMPSET1
BARB-COLE,BARBER-COLEMAN,,COMPSET1
BARCO,BARCO,,COMPSET1
BARKSDALE,BARKSDALE,,COMPSET1
BARN-INTE,BARNSTEAD INTERNATIONAL,,COMPSET1
BARNES,BARNES,,COMPSET1
BARS-LEAK,BAR'S LEAKS,,COMPSET1
BASSICK,BASSICK,,COMPSET1
BATEMAN,BATEMAN MANUFACTURING,,COMPSET1
BATO-VICK,BATON-VICKERS,,COMPSET1
BATT-INTE,BATTLEFIELD INTERNATIONAL,,COMPSET1
BAUER,BAUER,,COMPSET1
BAUMER,BAUMER HEUBNER,,COMPSET1
BAUS-LOMB,BAUSCH & LOMB,,COMPSET1
BAXT-VERT,BAXTER VERTICUT,,COMPSET1
BAYCO,BAYCO PRODUCTS INC,,COMPSET1
BAYER-MATE,BAYER MATERIAL SCIENCE,,COMPSET1
BBC,BBC,,COMPSET1
BCA,BCA,,COMPSET1
BCE,BENCON ENGINEERING,,COMPSET1
BCG,BELT CONVEYOR GUARDING,,COMPSET1
BD-CYLINDER,B-D CYLINDER,,COMPSET1
BEACH-FILT,BEACH FILTERS,,COMPSET1
BEACON,BEACON LUMINAIRE,,COMPSET1
BEAED,BEAED,,COMPSET1
BEAST-LED,BEAST LED,,COMPSET1
BECKETT,Beckett Corporation,,COMPSET1
BECKHOFF,BECKHOFF,,COMPSET1
BECKOFF,BECKOFF,,COMPSET1
BEEMER,BEEMER PRECISION (OILITE),,COMPSET1
BEGHELLI,BEGHELLI,,COMPSET1
BEHA,BEHA BELT,,COMPSET1
BEHRINGER,BEHRINGER STANDARD PIPE,,COMPSET1
BEI-TECH,BEI TECHNOLOGIES (BEI-SENSORS),,COMPSET1
BEKO,BEKO  TECHNOLOGIES,,COMPSET1
BEL,BEL,,COMPSET1
BEL-GAS,BEL GAS,,COMPSET1
BEL-RAY,BEL-RAY,,COMPSET1
BELDEN,BELDEN,,COMPSET1
BELIMO,BELIMO,,COMPSET1
BELKIN,"BELKIN INT'L,INC",,COMPSET1
BELL-GOSS,BELL & GOSSETT,,COMPSET1
BELL-OUTDOOR,BELL-OUTDOOR,,COMPSET1
BELRAY,BELRAY,,COMPSET1
BELTERRA,BELTERRA,,COMPSET1
BELTSERVICE,BELTSERVICE CORP,,COMPSET1
BELZONA,BELZONA INC.,,COMPSET1
BEMAG,BEMAG TRANSFORMER,,COMPSET1
BENE-JAGE,BENEDIKT & JAGER,,COMPSET1
BENETECH,BENETECH,,COMPSET1
BENJ-MOOR,BENJAMIN MOORE,,COMPSET1
BENSHAW,BENSHAW ADVANCED CONTROLS,,COMPSET1
BERG,BERG CHILLING SYSTEMS,,COMPSET1
BERI-DAVI,BERIC-DAVIS,,COMPSET1
BERLIN,BERLIN SPECIALTY BOXES,,COMPSET1
BERN-CONT,BERNARD CONTROLS,,COMPSET1
BERNARD,BERNARD,,COMPSET1
BERNSTEIN,BERNSTEIN,,COMPSET1
BERNZOMATIC,BERNZOMATIC,,COMPSET1
BERTAN,BERTAN,,COMPSET1
BESMAN,BESMAN,,COMPSET1
BESSEY,BESSEY,,COMPSET1
BEST-COMPANY,BEST-COMPANY,,COMPSET1
BEST-LOCK,BEST-LOCK,,COMPSET1
BEST-STEA,BESTOBELL STEAM,,COMPSET1
BEST-WELD,BEST WELDS,,COMPSET1
BESTWAYCAST,BESTWAYCASTERS,,COMPSET1
BETE-FOG,BETE FOG NOZZLE INC,,COMPSET1
BETT-PACK,BETTER PACK,,COMPSET1
BETTIS,BETTIS,,COMPSET1
BETZ-ENTEC,BETZ-ENTEC,,COMPSET1
BEX-ENGI,BEX ENGINEERING,,COMPSET1
BGE-SERV,B.G.E. SERVICE & SUPPLY LTD,,COMPSET1
BHA,BHA,,COMPSET1
BI-TORQ,BI-TORQ VALVE AUTOMATION,,COMPSET1
BIELOMATIC,BIELOMATIK,,COMPSET1
BIJU-DELI,BIJUR DELIMON,,COMPSET1
BIMBA,BIMBA,,COMPSET1
BINDER,BINDER USA/GmbH,,COMPSET1
BINDICATOR,BINDICATOR,,COMPSET1
BINKS,BINKS,,COMPSET1
BINMASTER,BINMASTER,,COMPSET1
BIOSYSTEMS,BIOSYSTEMS,,COMPSET1
BIRCH,BIRCH,,COMPSET1
BIRD-X,BIRD-X INC,,COMPSET1
BISH-WISE,BISHOP  WISECARVER CORPORATION (DUALVEE),,COMPSET1
BISO-GEAR,BISON GEAR & ENGINEERING,,COMPSET1
BJ-TAKE,BJ TAKE INC.,,COMPSET1
BJM-PUMP,BJM PUMP,,COMPSET1
BLAC-DECK,BLACK & DECKER,,COMPSET1
BLACK-BOX,BLACK-BOX,,COMPSET1
BLACK-CAT,BLACK CAT BLADES,,COMPSET1
BLACKBURN,BLACKBURN,,COMPSET1
BLACKHAWK,BLACKHAWK,,COMPSET1
BLACOH,BLACOH FLUID CONTROL,,COMPSET1
BLACON,BLACON,,COMPSET1
BLASTGATE,THE BLASTGATE CO.,,COMPSET1
BLEN-SPEC,BLENDED SPECIALTY CHEMICALS,,COMPSET1
BLH-ELEC,BLH ELECTRONICS,,COMPSET1
BLUE-DART,BLUE DART,,COMPSET1
BLUE-GIANT,BLUE GIANT,,COMPSET1
BLUE-STRE,BLUE STREAK ELECTRONICS,,COMPSET1
BLUE-WHITE,BLUE WHITE INDUSTRIES,,COMPSET1
BLUESHIELD,BLUESHIELD,,COMPSET1
BLUEWATER,BLUEWATER,,COMPSET1
BNZ-MATE,BNZ MATERIALS,,COMPSET1
