IKO_Import,IKO_JOBMATERIAL,AddChange,EN
JP_ORGID,JP_SITEID,JP_JPNUM,PLUSCREVNUM,ITEMNUM,ITEMQTY,ITEMSETID
IKO-CAD,GI,GIR3687PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO2,0,9046571,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO2,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO2,0,9046581,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO1,0,9046571,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO1,0,9111188,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3687PEMO1,0,9107221,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO6,0,9092526,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO6,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO5,0,9092526,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO5,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO5,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO4,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO4,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO4,0,9092526,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO4,0,9046570,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO3,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO3,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO3,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO3,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO2,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO2,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO2,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO2,0,9046568,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO1,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO1,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO1,0,9109319,1,ITEMSET1
IKO-CAD,GI,GIR3683PEMO1,0,9046565,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO6,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO6,0,9048685,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO5,0,9048684,1,ITEMSET1
IKO-CAD,GI,GIR3679PEMO5,0,9048685,1,ITEMSET1
